Sociedad;Unidad de negocio;Segmento;Cuentas;Periodo;Año;Mes;Cecos;Cebes;Cliente;Material;Moneda;Real Periodo;Descripción cuenta;Volumen;UM;Subcategoria;Moneda;Real Periodo;;-1
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010105;HN-00000633;20013476;Lempiras;4800;Ventas Locales;880;ft3;Argón;Dolares;198.84;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000633;20013479;Lempiras;500;Ventas Locales;300;ft3;Oxígeno;Dolares;20.71;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000638;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000656;20013479;Lempiras;560;Ventas Locales;385;ft3;Oxígeno;Dolares;23.2;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000668;20013479;Lempiras;2800;Ventas Locales;2085;ft3;Oxígeno;Dolares;115.99;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000688;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000696;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000714;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010165;HN-00000718;20013477;Lempiras;1050;Ventas Locales;300;ft3;Nitrogeno;Dolares;43.5;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000744;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000747;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010165;HN-00000778;20013477;Lempiras;1050;Ventas Locales;300;ft3;Nitrogeno;Dolares;43.5;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000781;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000810;20013479;Lempiras;1200;Ventas Locales;600;ft3;Oxígeno;Dolares;49.71;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000823;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000834;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010265;HN-00000844;20013489;Lempiras;2800;Ventas Locales;861;L;Nitrogeno líquido;Dolares;115.99;;
B005;Gases;Honduras;4011010004;1;2020;enero;;B005010711;HN-00000849;20013442;Lempiras;16800;Otras Ventas;;UND;Extintor CO2;Dolares;695.94;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000861;20013479;Lempiras;900;Ventas Locales;440;ft3;Oxígeno;Dolares;37.28;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000871;20013479;Lempiras;1200;Ventas Locales;660;ft3;Oxígeno;Dolares;49.71;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010109;HN-00000871;20013491;Lempiras;1050;Ventas Locales;55;LB;CO2;Dolares;43.5;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000871;20013495;Lempiras;890;Ventas Locales;145;ft3;Acetileno;Dolares;36.87;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000879;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000880;20013479;Lempiras;6240;Ventas Locales;3600;ft3;Oxígeno;Dolares;258.49;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000891;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000893;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000933;20013479;Lempiras;500;Ventas Locales;300;ft3;Oxígeno;Dolares;20.71;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000935;20013479;Lempiras;1050;Ventas Locales;520;ft3;Oxígeno;Dolares;43.5;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010141;HN-00000950;20013458;Lempiras;6500;Ventas Locales;1100;UND;Dióxido;Dolares;269.26;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000964;20013479;Lempiras;20880;Ventas Locales;12760;ft3;Oxígeno;Dolares;864.95;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000964;20013495;Lempiras;20200;Ventas Locales;3335;ft3;Acetileno;Dolares;836.79;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000968;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000969;20013479;Lempiras;1350;Ventas Locales;660;ft3;Oxígeno;Dolares;55.92;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010101;HN-00000969;20013495;Lempiras;520;Ventas Locales;145;ft3;Acetileno;Dolares;21.54;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000979;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000981;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010105;HN-00000983;20013476;Lempiras;1500;Ventas Locales;220;ft3;Argón;Dolares;62.14;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010109;HN-00000993;20013491;Lempiras;12600;Ventas Locales;655;LB;CO2;Dolares;521.96;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010105;HN-00000994;20013476;Lempiras;1500;Ventas Locales;220;ft3;Argón;Dolares;62.14;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00000998;20013479;Lempiras;9600;Ventas Locales;5280;ft3;Oxígeno;Dolares;397.68;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010109;HN-00000998;20013491;Lempiras;3150;Ventas Locales;165;LB;CO2;Dolares;130.49;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00001011;20013479;Lempiras;450;Ventas Locales;220;ft3;Oxígeno;Dolares;18.64;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00001015;20013479;Lempiras;600;Ventas Locales;300;ft3;Oxígeno;Dolares;24.86;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00001023;20013479;Lempiras;1120;Ventas Locales;600;ft3;Oxígeno;Dolares;46.4;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010105;HN-00001026;20013476;Lempiras;3000;Ventas Locales;440;ft3;Argón;Dolares;124.28;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010109;HN-00001040;20013491;Lempiras;1050;Ventas Locales;55;LB;CO2;Dolares;43.5;;
B005;Gases;Honduras;4011010001;1;2020;enero;;B005010170;HN-00001054;20013479;Lempiras;11400;Ventas Locales;5700;ft3;Oxígeno;Dolares;472.25;;
